Month,CountyFIPS,CountyName,Nielsen Rank,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
2017-09-01,37127,"Nash, NC",612,*,139900,-0.021,0,455,0.0964,-0.4013,88,0.0233,-0.1538,90,-0.3284,-0.3182,8,1,0.3333,66,-0.2667,-0.4,119,0.0917,1.4286,179500,-0.037,0.0647,574,0.0954,-0.2905,0.2615,-0.0011,0.1971
2017-09-01,51121,"Montgomery, VA",613,,259900,0.0396,0.0656,299,-0.1048,-0.1919,75,0.0135,-0.1279,94,0.093,-0.06,8,1,1,58,-0.275,-0.0333,3,2,2,316100,0.0171,0.0844,302,-0.0985,-0.186,0.01,0.007,0.0073
2017-09-01,39157,"Tuscarawas, OH",614,*,133700,0.0098,-0.034,311,0.0032,0.0163,67,0.0806,-0.0946,68,-0.0556,0.0968,2,0,,86,0.075,0.5926,47,-0.1455,,173600,0.0206,0.0395,358,-0.0192,0.1699,0.1511,-0.0263,0.1511
2017-09-01,21037,"Campbell, KY",615,,199800,0.0055,0.332,373,-0.0184,0.0906,58,0.0741,-0.2468,120,-0.2105,0.0714,4,0,-0.3333,150,0.1538,0.3393,238,0.0259,0.0348,261200,0.0042,0.0966,611,-0.0016,0.0682,0.6381,0.0275,-0.0344
2017-09-01,19155,"Pottawattamie, IA",616,,125000,-0.0119,-0.0994,303,-0.0472,-0.213,50,0.087,-0.0741,114,-0.2597,-0.1857,0,,,116,0.0545,-0.2162,54,0.4211,0.2558,199400,0.0096,-0.0273,357,0.0028,-0.1659,0.1782,0.0587,0.0665
2017-09-01,33009,"Grafton, NH",617,,229400,0.0173,0.067,1282,0.0256,-0.1072,115,0.1856,-0.0496,196,0.1136,0.225,10,1.5,0.25,160,-0.0588,0.1111,0,,,312400,0.0229,0.0334,1282,0.0256,-0.1072,0,0,0
2017-09-01,2090,"Fairbanks North Star, AK",618,,210000,-0.0159,0,464,-0.0064,0.16,61,0.1296,-0.0896,128,-0.1688,0.2075,0,-1,-1,178,0.023,0.4127,0,,-1,218400,-0.0036,-0.0036,464,-0.0064,0.1514,0,0,-0.0075
2017-09-01,22057,"Lafourche, LA",619,,184400,-0.0011,0.0244,398,0.0127,0.1148,129,0.0157,0.1835,62,-0.1389,-0.1389,0,,-1,70,0.0294,0.0938,37,-0.0263,0.3214,221400,0.0027,-0.0063,435,0.0093,0.1299,0.093,-0.0037,0.0145
2017-09-01,4017,"Navajo, AZ",620,,276800,-0.0036,0.0696,1028,-0.0629,-0.1483,105,0.05,-0.1322,138,-0.3301,-0.0676,4,-0.5,-0.3333,190,-0.1949,-0.0686,56,0.1915,1.5455,363200,0.0028,0.0999,1084,-0.0524,-0.118,0.0545,0.0116,0.0362
2017-09-01,19169,"Story, IA",621,,251200,-0.0335,0.0502,387,0.0691,0.1657,49,-0.02,-0.1552,150,-0.0741,0.2295,0,,-1,100,0,-0.2188,98,-0.1624,0.5313,279600,-0.0467,-0.0092,485,0.0125,0.2247,0.2532,-0.07,0.0605
2017-09-01,13015,"Bartow, GA",622,,232800,-0.0296,0.171,825,0.0456,0.07,53,0,-0.0862,240,-0.2638,0.1765,32,0.0667,0.0667,204,0.0851,-0.0893,144,-0.1955,-0.2088,290600,-0.0238,-0.0287,969,0.001,0.0168,0.1745,-0.0523,-0.0615
2017-09-01,27019,"Carver, MN",623,,378700,-0.0097,-0.0097,479,0.0459,-0.0681,42,-0.0455,-0.1429,212,0,0.06,10,-0.1667,-0.2857,136,0.1525,0,215,-0.1224,0,475600,0.0261,0.0224,694,-0.0128,-0.048,0.4489,-0.0861,0.0306
2017-09-01,54107,"Wood, WV",624,*,139700,0.0131,0.0779,375,-0.0053,0.1062,76,0.0704,-0.013,80,-0.2453,0.0811,4,,1,68,-0.0811,-0.0286,60,-0.2,29,203100,0.017,0.1652,435,-0.0376,0.2757,0.16,-0.0389,0.1541
2017-09-01,42073,"Lawrence, PA",625,*,99300,0.0071,0.1836,722,-0.0069,0.2013,89,0.1125,-0.101,104,-0.1875,0.3333,2,-0.5,-0.6667,142,0.0441,0.0758,70,-0.0541,-0.5597,146600,-0.0014,0.1251,792,-0.0112,0.0421,0.097,-0.0048,-0.1676
2017-09-01,41071,"Yamhill, OR",626,,429700,-0.0007,0.1103,431,-0.0069,-0.2178,59,0.0727,0.0351,154,-0.163,-0.3304,6,-0.4,0,96,-0.04,-0.1579,7,0.1667,0.1667,608600,-0.0405,0.0573,438,-0.0045,-0.2136,0.0162,0.0024,0.0054
2017-09-01,36117,"Wayne, NY",627,,149900,0,0,358,-0.0376,-0.2027,60,0.0345,-0.0476,108,-0.0847,0.125,2,-0.5,-0.5,74,-0.119,-0.075,0,,,169900,-0.007,-0.0064,358,-0.0376,-0.2027,0,0,0
2017-09-01,2170,"Matanuska-Susitna, AK",628,,270000,-0.0175,-0.016,841,-0.021,0.1213,73,0.0896,-0.1098,178,-0.2458,0.2714,4,-0.3333,-0.3333,280,-0.1716,0.25,0,,,300300,-0.0089,-0.0338,841,-0.021,0.1213,0,0,0
2017-09-01,1095,"Marshall, AL",629,,189900,0.0117,0.1371,504,-0.0436,-0.134,108,0.0286,-0.0092,88,-0.1698,-0.2667,2,0,-0.5,104,-0.0545,-0.0545,0,,,272800,-0.0037,0.1405,504,-0.0436,-0.134,0,0,0
2017-09-01,41003,"Benton, OR",630,,399500,0.0147,0.09,248,-0.0236,-0.1593,48,0.0213,-0.1724,82,-0.0889,0.1081,4,0,-0.3333,48,0.6,0.3333,1,0,,492200,-0.0111,0.122,249,-0.0235,-0.1559,0.004,0.0001,0.004
